Generation Num,Predators,Prey
988, 114, 617
989, 1851, 980
990, 127, 441
991, 127, 689
992, 2045, 1111
993, 175, 608
994, 175, 963
995, 2916, 1542
996, 204, 698
997, 204, 1063
998, 3257, 1719
999, 262, 913
